"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"231","Mercer",2020-10-01,256137,99469,113652,39148,3868,551,749,67,851,376,838,436
"232","Middlesex",2020-10-01,554285,217738,240828,88114,7605,1061,1541,218,1833,682,1485,785
"233","Monmouth",2020-10-01,482595,199621,139874,137292,5808,926,1479,128,1139,520,1160,456
"234","Morris",2020-10-01,385586,137141,111790,132825,3830,619,1126,68,737,287,699,294
"235","Ocean",2020-10-01,437364,172475,99920,159241,5728,879,1345,124,1232,465,1153,530
"236","Passaic",2020-10-01,322880,121701,129900,66063,5216,642,999,150,1026,500,1349,550
"237","Salem",2020-10-01,48734,19364,15297,13310,763,91,185,8,92,53,248,86
"238","Somerset",2020-10-01,254742,98296,89162,64725,2559,395,775,47,482,182,461,217
"239","Sussex",2020-10-01,112855,38156,25607,47366,1726,294,488,30,292,147,359,116
"240","Union",2020-10-01,365854,126898,178162,55901,4893,607,971,146,1183,473,997,516
"241","Warren",2020-10-01,83728,28736,21473,32445,1074,159,327,20,219,78,203,68
"242","Grand Total",2020-10-01,6366186,2362169,2498976,1425319,79722,11496,18199,2009,17138,6928,16253,7699
"243","Atlantic",2020-11-01,205137,75072,72778,54399,2888,426,635,93,618,253,543,320
"244","Bergen",2020-11-01,678883,267575,258830,145797,6681,1073,1680,157,1387,518,1329,537
"245","Burlington",2020-11-01,347292,119081,136396,87922,3893,583,1041,66,741,322,763,377
"246","Camden",2020-11-01,393732,141707,185677,61131,5217,732,1133,128,1120,467,1098,539
"247","Cape May",2020-11-01,76848,25322,18935,31741,850,103,225,13,193,58,177,81
"248","Cumberland",2020-11-01,95723,38561,33772,21423,1967,194,341,61,550,230,355,236
"249","Essex",2020-11-01,570655,214734,294203,56499,5219,693,973,181,1281,512,1001,578
"250","Gloucester",2020-11-01,231113,83191,89642,55467,2813,425,764,73,492,183,612,264
"251","Hudson",2020-11-01,413228,138116,227048,41782,6282,876,1361,198,1397,511,1291,648
"252","Hunterdon",2020-11-01,105808,35391,28485,41055,877,143,320,7,137,52,158,60
"253","Mercer",2020-11-01,262083,101163,116910,40153,3857,545,766,73,834,369,839,431
"254","Middlesex",2020-11-01,563543,224166,242418,89366,7593,1051,1553,215,1806,678,1503,787
"255","Monmouth",2020-11-01,490447,204590,140803,139249,5805,916,1544,128,1105,498,1153,461
"256","Morris",2020-11-01,391178,141133,112762,133472,3811,613,1137,66,703,281,716,295
"257","Ocean",2020-11-01,445529,177176,100820,161811,5722,875,1363,123,1218,454,1167,522
"258","Passaic",2020-11-01,329512,126188,131102,67067,5155,636,1024,145,999,482,1320,549
"259","Salem",2020-11-01,49629,19877,15442,13536,774,95,202,9,92,54,238,84
"260","Somerset",2020-11-01,259009,101156,90037,65266,2550,390,788,46,466,183,467,210
"261","Sussex",2020-11-01,115268,39673,25957,47907,1731,288,513,30,276,144,365,115
"262","Union",2020-11-01,374532,132533,180268,56891,4840,606,996,146,1143,462,987,500
"263","Warren",2020-11-01,86447,30318,21879,33140,1110,164,347,18,222,76,210,73
"264","Grand Total",2020-11-01,6485596,2436723,2524164,1445074,79635,11427,18706,1976,16780,6787,16292,7667
"265","Atlantic",2020-12-01,205413,75254,72780,54484,2895,427,642,95,614,252,542,323
"266","Bergen",2020-12-01,682247,269438,259635,146444,6730,1082,1689,159,1396,518,1346,540
"267","Burlington",2020-12-01,347718,119269,136487,88067,3895,584,1047,67,741,320,765,371
"268","Camden",2020-12-01,396192,142282,186749,61918,5243,743,1142,128,1119,467,1100,544
"269","Cape May",2020-12-01,76854,25292,18920,31777,865,103,228,14,198,60,177,85
"270","Cumberland",2020-12-01,95758,38585,33774,21433,1966,194,341,61,550,230,355,235
"271","Essex",2020-12-01,573269,216007,295201,56814,5247,694,987,180,1276,517,1013,580
"272","Gloucester",2020-12-01,230896,83066,89578,55442,2810,424,763,73,491,182,613,264
"273","Hudson",2020-12-01,413362,138350,226955,41795,6262,873,1360,196,1393,509,1289,642
"274","Hunterdon",2020-12-01,105597,35176,28475,41084,862,141,316,7,135,51,152,60
"275","Mercer",2020-12-01,262494,100717,117659,40252,3866,544,771,75,839,368,836,433
"276","Middlesex",2020-12-01,564999,225016,242738,89647,7598,1047,1558,213,1808,678,1500,794
"277","Monmouth",2020-12-01,492165,205268,141193,139862,5842,916,1565,126,1110,502,1165,458
"278","Morris",2020-12-01,391424,139983,113328,134340,3773,609,1141,65,695,270,703,290
"279","Ocean",2020-12-01,446052,177508,100774,162048,5722,879,1373,122,1215,449,1165,519
"280","Passaic",2020-12-01,329282,126093,130962,67089,5138,634,1026,146,991,478,1316,547
"281","Salem",2020-12-01,49590,19845,15440,13531,774,95,202,9,92,54,238,84
"282","Somerset",2020-12-01,259567,100997,90424,65596,2550,390,794,45,463,185,467,206
"283","Sussex",2020-12-01,115259,39445,25986,48127,1701,285,512,30,267,135,360,112
"284","Union",2020-12-01,375412,133014,180456,57082,4860,607,1007,145,1143,463,990,505
"285","Warren",2020-12-01,86285,29811,22061,33305,1108,163,347,18,221,76,210,73
"286","Grand Total",2020-12-01,6499835,2440416,2529575,1450137,79707,11434,18811,1974,16757,6764,16302,7665
